post-attention projection norm w/ residual conn,post-attention projection norm w/o residual conn,post-mlp projection norm w/ residual conn,post-mlp projection norm w/o residual conn
24.25,3.296875,3.296875,3.96875
21.125,3.25,11.625,12.875
16.5,12.5,6.8125,17.0
25.375,1.28125,2.375,2.0625
26.375,2.203125,3.484375,3.546875
9.25,1.8828125,4.1875,3.546875
7.75,0.9609375,3.765625,3.4375
23.75,0.6875,3.546875,3.625
16.0,1.7578125,2.828125,2.421875
8.8125,3.765625,4.03125,1.6328125
22.125,2.8125,4.9375,4.25
36.5,2.296875,3.828125,2.921875
23.375,0.75390625,4.46875,4.09375
0.1044921875,0.09619140625,0.1435546875,0.1328125
6.06475590234079e-19,6.06475590234079e-19,5.996993266560446e-19,5.996993266560446e-19
31.125,8.1875,245.0,245.0
64.5,2.65625,2.703125,1.4921875
121.0,1.4140625,1.9765625,1.2734375
18.125,1.8203125,3.234375,2.015625
6.96875,0.9609375,1.65625,1.9375
48.25,0.8515625,2.84375,2.859375
11.4375,2.25,3.734375,5.21875
20.375,3.984375,4.34375,7.5625
14.25,5.0625,3.8125,7.875
29.25,2.859375,3.359375,5.21875
24.375,3.40625,3.375,4.03125
21.25,3.328125,11.8125,13.0
16.625,12.5625,6.90625,17.125
25.625,1.21875,2.34375,2.015625
26.375,2.015625,3.453125,3.515625
8.875,1.984375,4.4375,3.484375
8.0,0.98046875,3.671875,3.34375
23.375,0.68359375,3.78125,3.75
15.875,1.640625,2.65625,2.453125
9.75,3.84375,4.09375,1.9375
21.875,2.703125,4.75,4.0
34.75,2.0,3.375,2.8125
19.375,0.72265625,3.90625,3.5625
6.96875,2.15625,3.15625,3.765625
0.126953125,0.11328125,0.125,0.1123046875
6.06475590234079e-19,6.06475590234079e-19,5.963111948670274e-19,5.963111948670274e-19
31.125,8.125,245.0,245.0
64.5,2.609375,2.609375,1.4296875
121.0,1.421875,2.0,1.2734375
17.75,1.8046875,3.25,2.03125
6.59375,0.96484375,1.671875,1.9609375
48.25,0.83203125,2.890625,2.90625
11.5625,2.328125,3.765625,5.28125
20.5,4.03125,4.4375,7.65625
14.4375,5.15625,3.875,7.96875
29.125,2.90625,3.375,5.3125
23.875,3.5,3.375,4.09375
20.75,3.359375,11.875,13.1875
16.125,12.75,7.03125,17.5
24.75,1.3125,2.4375,1.9921875
25.125,1.8125,3.296875,3.4375
7.09375,1.9453125,4.40625,3.40625
9.375,0.96875,3.546875,3.1875
25.125,0.69921875,3.953125,3.984375
15.5,1.6875,2.53125,2.34375
10.25,3.6875,4.0,2.078125
23.75,3.3125,4.75,3.84375
36.75,1.9453125,3.125,2.734375
18.25,0.61328125,3.578125,3.421875
8.0625,1.703125,3.671875,3.875
4.59375,0.984375,2.0625,2.4375
0.1904296875,0.15625,0.18359375,0.1591796875
6.06475590234079e-19,6.06475590234079e-19,5.929230630780102e-19,5.929230630780102e-19
31.25,8.125,245.0,245.0
64.5,2.578125,2.671875,1.4765625
121.0,1.375,1.9609375,1.3046875
18.25,1.828125,3.328125,2.09375
7.1875,0.99609375,1.6875,2.015625
48.0,0.8515625,2.84375,2.890625
11.125,2.40625,3.875,5.5
20.125,4.15625,4.59375,8.0
13.75,5.375,4.03125,8.375
29.75,3.0625,3.53125,5.6875
24.625,3.65625,3.515625,4.25
21.25,3.59375,12.5,13.6875
16.75,13.1875,7.28125,18.125
25.5,1.5234375,2.359375,1.7890625
26.125,1.390625,2.9375,2.953125
7.875,1.7265625,4.15625,3.125
8.4375,0.8515625,2.75,2.65625
23.625,0.703125,3.4375,3.25
17.5,1.4609375,2.953125,3.453125
9.0625,3.03125,3.0,2.140625
20.0,3.125,2.84375,2.28125
31.375,1.7578125,2.125,2.3125
8.3125,0.5390625,1.5,1.453125
24.625,1.3671875,5.0625,4.625
20.25,1.2578125,4.25,3.5
23.875,2.375,5.25,4.1875
0.1787109375,0.1240234375,0.1337890625,0.1064453125
6.06475590234079e-19,6.06475590234079e-19,5.929230630780102e-19,5.929230630780102e-19
31.125,8.125,245.0,245.0
64.5,2.5625,2.671875,1.4765625
121.0,1.359375,1.9375,1.2890625
18.25,1.7890625,3.3125,2.078125
7.21875,0.96484375,1.71875,2.015625
48.0,0.8515625,2.859375,2.890625
10.9375,2.40625,3.84375,5.46875
20.0,4.09375,4.625,7.96875
13.5,5.3125,4.0625,8.3125
30.0,3.015625,3.578125,5.6875
24.375,3.6875,3.578125,4.34375
21.0,3.625,12.5,13.625
16.5,13.25,7.3125,18.125
25.25,1.6015625,2.484375,1.84375
